number,title,artist,lyrics,album,lyrics_length
1,Come Together,The Beatles,"
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together",Abbey Road by The Beatles,241
2,Something,The Beatles,"
I don't want to leave her now
You know I believe and how",Abbey Road by The Beatles,139
3,Maxwell’s Silver Hammer,The Beatles,"
Bang! Bang! Maxwell's silver hammer
Came down upon her head
(Do-do-do-do)
Clang! Clang! Maxwell's silver hammer
Made sure that she was dead
(Do-do-do-do)


P. C. 31 said, ""We caught a dirty one,""
Maxwell stands alone
Painting testimonial pictures, oh, oh, oh, oh
Rose and Valerie
Screaming from the gallery, say he must go free
(Maxwell must go free)
The judge does not agree and he tells them so-o-o-o
But as the words are leaving his lips
A noise comes from behind


Bang! Bang! Maxwell's silver hammer
Came down upon his head
(Do-do-do-do-do)
Clang! Clang! Maxwell's silver hammer
Made sure that he was dead


Whoa, whoa, whoa-oa
(Do-do-do-do-do)
(Silver hammer man)",Abbey Road by The Beatles,252
4,Oh! Darling,The Beatles,"
Oh! Darling, if you leave me
I'll never make it alone
Believe me when I beg you (Wooo!)
Don't ever leave me alone


Oh! Darling, if you leave me
I'll never make it alone
Believe me when I tell you
I'll never do you no harm
(Believe me, darling!)


When you told me (Woo!) you didn't need me anymore
Well, you know I nearly broke down and cried
When you told me you didn't need me anymore
Well, you know I nearly fell down and died


Oh! Darling, please believe me
I'll never let you down
(Oh! Believe me, darling)
Believe me when I tell you
I'll never do you no harm",Abbey Road by The Beatles,182
5,Octopus’s Garden,The Beatles,"
We would shout and swim about
The coral that lies beneath the waves (Lies beneath the ocean waves)
Oh what joy for every girl and boy
Knowing they’re happy and they’re safe (Happy and they’re safe)
We would be so happy, you and me
No one there to tell us what to do


In an octopus’s garden with you
In an octopus’s garden with you",Abbey Road by The Beatles,201
6,I Want You (She’s So Heavy),The Beatles,"
She's so
Heavy
Heavy (Heavy, heavy)


She's so
Heavy
She's so heavy (Heavy, heavy)

",Abbey Road by The Beatles,185
7,Here Comes the Sun,The Beatles,"
Here comes the sun, doo da doo doo
Here comes the sun
It's all right
It's all right",Abbey Road by The Beatles,184
8,Because,The Beatles,"
Ah-ah-ah-ah-ah
Ah, ahh-ah, ahh-ah-ah
Ah-ah-ah-ah-ah-ah
Ah, ahh, ahh, ahh
Ahh
Ah-ah-ah-ah-ah
Ahh",Abbey Road by The Beatles,78
9,You Never Give Me Your Money,The Beatles,"
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven
1, 2, 3, 4, 5, 6, 7
All good children go to Heaven",Abbey Road by The Beatles,265
10,Sun King,The Beatles,"
Quando para mucho mi amore de felice corazón
Mundo paparazzi mi amore chicka ferdy parasol
Cuesto obrigado tanta mucho que canite carousel",Abbey Road by The Beatles,46
11,Mean Mr. Mustard,The Beatles,"
His sister Pam works in a shop
She never stops, she's a go-getter
Takes him out to look at the Queen
Only place that he's ever been
Always shouts out something obscene
Such a dirty old man
Dirty old man",Abbey Road by The Beatles,89
12,Polythene Pam,The Beatles,"
Get a dose of her in jackboots and kilt
She's killer-diller when she's dressed to the hilt
She's the kind of a girl that makes ""The News of the World""
Yes, you could say she was attractively built
Yeah, yeah, yeah
(Hey!) Great!",Abbey Road by The Beatles,83
13,She Came in Through the Bathroom Window,The Beatles,"
Oh yeah",Abbey Road by The Beatles,147
14,Golden Slumbers,The Beatles,"
And I will sing a lullaby",Abbey Road by The Beatles,89
17,Her Majesty,The Beatles,"
Her Majesty's a pretty nice girl
But she doesn't have a lot to say
Her Majesty's a pretty nice girl
But she changes from day to day
I want to tell her that I love her a lot
But I gotta get a bellyful of wine
Her Majesty's a pretty nice girl
Someday I'm going to make her mine, oh yeah
Someday I'm going to make her mine",Abbey Road by The Beatles,69
1,A Hard Day’s Night,The Beatles,"
You know I feel alright
You know I feel alright",A Hard Day’s Night (US) by The Beatles,284
2,Tell Me Why,The Beatles,"
Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me",A Hard Day’s Night (US) by The Beatles,193
3,I’ll Cry Instead,The Beatles,"
And when I do you better hide all the girls
'Cause I'm gonna break their hearts all 'round the world
Yes, I'm gonna break 'em in two
And show you what your loving man can do
Until then I'll cry instead",A Hard Day’s Night (US) by The Beatles,220
5,I’m Happy Just to Dance with You,The Beatles,"
If somebody tries to take my place
Let's pretend we just can't see his face
In this world there's nothing I would rather do
I've discovered I'm in love with you
'Cause I'm happy just to dance with you",A Hard Day’s Night (US) by The Beatles,223
7,I Should Have Known Better,The Beatles,"
You love me too, you love me too
You love me too",A Hard Day’s Night (US) by The Beatles,194
8,If I Fell,The Beatles,"
If I fell in love with you",A Hard Day’s Night (US) by The Beatles,214
9,And I Love Her,The Beatles,"
Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her",A Hard Day’s Night (US) by The Beatles,114
11,Can’t Buy Me Love,The Beatles,"
Can't buy me love, love
Can't buy me love",A Hard Day’s Night (US) by The Beatles,218
1,No Reply,The Beatles,"
No reply, no reply",Beatles for Sale by The Beatles,177
2,I’m a Loser,The Beatles,"
I'm a loser, and I lost someone who's near to me
I'm a loser
And I'm not what I appear to be",Beatles for Sale by The Beatles,202
3,Baby’s in Black,The Beatles,"
Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?",Beatles for Sale by The Beatles,201
4,Rock and Roll Music,The Beatles,"
That's why I go for that rock and roll music
Any old time you use it
It's got a back beat, you can't lose it
Any old time you use it
Oh, you got rock 'n roll music
If you want to dance with me
If you want to dance with me",Beatles for Sale by The Beatles,398
5,I’ll Follow the Sun,The Beatles,"
One day, you'll find that I have gone
But tomorrow may rain, so I'll follow the sun",Beatles for Sale by The Beatles,140
6,Mr. Moonlight,The Beatles,"
Mr. Moonlight, come again please
Here I am on my knees
Begging if you please
And the night you don't come my way
Oh I pray and pray more each day
'Cause we love you, Mr. Moonlight
Mr. Moonlight
Mr. Moonlight
Mr. Moonlight",Beatles for Sale by The Beatles,160
7,Kansas City/Hey-Hey-Hey-Hey!,The Beatles,"
Well, I'll say bye
Bye, bye, baby bye, bye
Oh, so long
Bye, bye, baby I'm gone
Yeah, I said
Bye, bye, baby, bye, bye
Bye, bye, bye, bye
Well, I'll say bye
Bye, bye, baby bye, bye
Woo, so long
Bye, bye, baby, I'm gone",Beatles for Sale by The Beatles,183
9,Words of Love,The Beatles,"
Words of love you whisper soft and true
Darling, I love you",Beatles for Sale by The Beatles,63
10,Honey Don’t,The Beatles,"
But ah ah well honey don't, honey don't
Honey don't, honey don't, honey don't
I say you will when you won't, ah ah, honey, don't
(Ahh rock on George, one time for me!
I feel fine, mmmhm. I said...)


But ah ah well honey don't, I said honey don't
Honey don't, honey don't, honey don't
I say you will when you won't, ah ah, honey, don't
(Ah rock on George, for Ringo one time! Woo!)


Well honey don't, well honey don't
Uh little, little honey don't
I say you will when you won't, ah ah, honey, don't",Beatles for Sale by The Beatles,226
11,Every Little Thing,The Beatles,"
Every little thing
Every little thing",Beatles for Sale by The Beatles,156
13,What You’re Doing,The Beatles,"
Please stop your lying, you've got me crying, girl
Why should it be so much to ask of you
What you're doing to me?
What you're doing to me?
What you're doing to me?",Beatles for Sale by The Beatles,160
14,Everybody’s Trying to Be My Baby,The Beatles,"
Everybody's trying to be my baby
Everybody's trying to be my baby
Everybody's trying to be my baby, now",Beatles for Sale by The Beatles,187
1,Help!,The Beatles,"
(Help!) I need somebody
(Help!) Not just anybody
(Help!) You know I need someone
(Help!)


Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?
Help me? Help me? Ooh",Help! (UK) by The Beatles,241
2,The Night Before,The Beatles,"
We said our goodbyes (Ah, the night before)
Love was in your eyes (Ah, the night before)
Now, today, I find you have changed your mind
Treat me like you did the night before


Were you telling lies? (Ah, the night before?)
Was I so unwise? (Ah, the night before?)
When I held you near, you were so sincere
Treat me like you did the night before


We said our goodbye (Ah, the night before)
Love was in your eyes (Ah, the night before)
Now, today, I find you have changed your mind
Treat me like you did the night before
(Yes)


Were you telling lies? (Ah, the night before)
Was I so unwise? (Ah, the night before)
When I held you near, you were so sincere
Treat me like you did the night before
Like the night before",Help! (UK) by The Beatles,213
3,You’ve Got to Hide Your Love Away,The Beatles,"
Hey, you've got to hide your love away
Hey, you've got to hide your love away",Help! (UK) by The Beatles,118
4,I Need You,The Beatles,"
Please remember how I feel about you
I could never really live without you
So, come on back and see just what you mean to me. I need you
I need you
I need you",Help! (UK) by The Beatles,188
5,Another Girl,The Beatles,"
For I have got another girl
Another girl
Another girl",Help! (UK) by The Beatles,222
6,You’re Going to Lose That Girl,The Beatles,"
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)


If you don't take her out tonight
She's gonna change her mind (She's gonna change her mind)
And I will take her out tonight
And I will treat her kind (I'm gonna treat her kind)


You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)


If you don't treat her right, my friend
You're gonna find her gone, (You're gonna find her gone)
'Cause I will treat her right, and then
You'll be the lonely one (You're not the only one)


You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna loo... (Yes, yes, you're gonna lose that girl)


I'll make a point
Of taking her away from you
(Watch what you do)
Yeah
The way you treat her
What else can I do?


(You're gonna lose that girl)
(You're gonna lose that girl)


You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna loo... (Yes, yes, you're gonna lose that girl)


I'll make a point
Of taking her away from you
(Watch what you do)
Yeah
The way you treat her
What else can I do?


If you don't take her out tonight
She's gonna change her mind (She's gonna change her mind)
And I will take her out tonight
And I will treat her kind (I'm gonna treat her kind)


You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)
You're gonna lose that girl (Yes, yes, you're gonna lose that girl)",Help! (UK) by The Beatles,333
7,Ticket to Ride,The Beatles,"
My baby don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care",Help! (UK) by The Beatles,288
8,Act Naturally,The Beatles,"
Well I hope you'll come and see me in the movies
Then I know that you will plainly see
The biggest fool that ever hit the big time
And all I gotta do is act naturally",Help! (UK) by The Beatles,220
9,It’s Only Love,The Beatles,"
Yes, it's so hard loving you, loving you",Help! (UK) by The Beatles,131
10,You Like Me Too Much,The Beatles,"
I will follow you and bring you back where you belong
'Cause I couldn't really stand it
I admit that I was wrong
I wouldn't let you leave me 'cause it's true
'Cause you like me too much and I like you
'Cause you like me too much and I like you",Help! (UK) by The Beatles,231
11,Tell Me What You See,The Beatles,"
Listen to me one more time, how can I get through?
Can't you try to see that I'm trying to get to you?
Open up your eyes now, tell me what you see
It is no surprise now, what you see is me
Hmm",Help! (UK) by The Beatles,195
12,I’ve Just Seen a Face,The Beatles,"
Oh, fallin', yes I am fallin'
And she keeps callin' me back again",Help! (UK) by The Beatles,212
13,Yesterday,The Beatles,"
Mmm-mmm-mmm-mmm-mmm, hmm-hmm",Help! (UK) by The Beatles,139
1,Two of Us,The Beatles,"
We're going home
Better believe it
Goodbye",Let It Be by The Beatles,254
2,Dig a Pony,The Beatles,"
All I want is you
Everything has got to be just like you want it to
Because",Let It Be by The Beatles,196
3,Across the Universe,The Beatles,"
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva",Let It Be by The Beatles,215
4,I Me Mine,The Beatles,"
All I can hear
I me mine, I me mine, I me mine
Even those tears
I me mine, I me mine, I me mine
No-one's frightened of playing it
Everyone's saying it
Flowing more freely than wine
All through your life
I me mine",Let It Be by The Beatles,154
5,Dig It,The Beatles,"
That was ""Can You Dig It"" by Georgie Wood
And now we'd like to do ""Hark the Angels Come""",Let It Be by The Beatles,59
6,Let It Be,The Beatles,"
Let it be, let it be, let it be, yeah, let it be
Oh there will be an answer, let it be
Let it be, let it be, let it be, yeah, let it be
Oh there will be an answer, let it be
Let it be, let it be, let it be, yeah, let it be
Whisper words of wisdom, let it be",Let It Be by The Beatles,279
7,Maggie Mae,The Beatles,"Oh, dirty Maggie Mae, they have taken her away
And she never walk down Lime Street anymore
Oh, the judge he guilty found her for robbing a homeward bounder
That dirty no good robbing Maggie Mae
This is a part of Liverpool, they returned me to
Two pounds ten a week, that was my pay",Let It Be by The Beatles,55
8,I’ve Got a Feeling,The Beatles,"
I've got a feeling, that keeps me on my toes
Oh yeah, oh yeah (oh yeah!)
I've got a feeling, I think that everybody knows
Oh yeah, oh yeah! Oh yeah
Yeah, yeah! I've got a feeling, yeah!
Yeah

[Verse 4: John Lennon and (Paul McCartney)]
Everybody had a hard year
Everybody had a good time
Everybody had a wet dream
Everybody saw the sunshine
Oh yeah, (oh yeah) oh yeah, oh yeah (yeah)

[Verse 5: John Lennon and (Paul McCartney)]
Everybody had a good year
Everybody let their hair down
Everybody pulled their socks up (yeah)
Everybody put their foot down, oh yeah

[Verse 6: Paul McCartney and (John Lennon)]
Yeah, woo-hoo!
I've got a feeling (Everybody had a good year)
A feeling deep inside (Everybody had a hard time)
Oh yeah (Everybody had a wet dream)
Oh yeah (Everybody saw the sunshine)
I've got a feeling (Everybody had a good year)
A feeling I can't hide (Everybody let their hair down)
Oh no (Everybody pulled their socks up)
Oh no, no (Everybody put their foot down, oh yeah)
Yeah, yeah!

[Outro: Paul McCartney and (John Lennon) ]
I've got a feeling (Oh yeah)
I've got a feeling (Oh yeah)
I've got a feeling
Yeah yeah yeah yeah
(Oh my soul, so hard.)",Let It Be by The Beatles,336
9,One After 909,The Beatles,"
Oh, Danny boy, the old savanna calling",Let It Be by The Beatles,279
10,The Long and Winding Road,The Beatles,"
But still they lead me back to the long and winding road
You left me standing here a long, long time ago
Don't keep me waiting here (Don't keep me waiting)
Lead me to your door


Yeah, yeah, yeah, yeah",Let It Be by The Beatles,161
11,For You Blue,The Beatles,"
(Queen says no to pot-smoking FBI members)


I want you in the morning, girl, I love you
I want you at the moment I feel blue
I'm living every moment, girl, for you

(Bop, bop cat bop)

(Go, Johnny, go)

(Them ol' 12-bar blues)

(Elmore James got nothing on this, baby)


Because you're sweet and lovely, girl, I love you
Because you're sweet and lovely, girl, it's true
I love you more than ever, girl, I do
I'm livin' the blues",Let It Be by The Beatles,146
12,Get Back,The Beatles,"
Get back
Ooh
Thanks, Moe
I'd like to say thank you on behalf of the group and ourselves, and I hope we passed the audition",Let It Be by The Beatles,262
1,Magical Mystery Tour,The Beatles,"
(Roll up! Roll up for the magical mystery tour!
Step right this way!)

[Verse: Paul McCartney, George Harrison, and (John Lennon)]
Roll up, roll up for the mystery tour
Roll up, roll up for the mystery tour
Roll up (and that's an invitation), roll up for the mystery tour
Roll up (to make a reservation), roll up for the mystery tour


The magical mystery tour is waiting to take you away
Waiting to take you away

[Verse: Paul McCartney, John Lennon and (George Harrison)]
Roll up, roll up for the mystery tour
Roll up, roll up for the mystery tour
Roll up (we've got everything you need), roll up for the mystery tour
Roll up (satisfaction guaranteed), roll up for the mystery tour


A mystery trip

[Verse: John Lennon, George Harrison, and (Paul McCartney)]
Aaaah... the magical mystery tour
Roll up, roll up for the mystery tour
Roll up (and that's an invitation), roll up for the mystery tour
Roll up (to make a reservation), roll up for the mystery tour

",Magical Mystery Tour (US) by The Beatles,235
2,The Fool on the Hill,The Beatles,"
Oh (Round and round and round)
Oh",Magical Mystery Tour (US) by The Beatles,234
4,Blue Jay Way,The Beatles,"
Please, don't be long (Don't be long)
Please, don't you be very long (Don't be long)
Please, don't be long
Or I may be asleep


Now, it's past my bed I know (Know)
And I'd really like to go (Go)
Soon will be the break of day (Day)
Sitting here in Blue Jay Way (Way)


Don't be long, don't be long
Don't be long, don't be long
Don't be long, don't be long
Don't be long, don't be long",Magical Mystery Tour (US) by The Beatles,217
5,Your Mother Should Know,The Beatles,"
Let's all get up and dance to a song
That was a hit before your mother was born
Though she was born a long, long time ago
Your mother should know (your mother should)
Your mother should know (know)
Sing it again
Let's all get up and dance to a song
That was a hit before your mother was born
Though she was born a long, long time ago
Your mother should know (your mother should)
Your mother should know (know)


Lift up your hearts and sing me a song
That was a hit before your mother was born
Though she was born a long, long time ago
Your mother should know (your mother should)
Your mother should know (know)
Your mother should know (your mother should)
Your mother should know (know)


Sing it again
Da da dada da da da dada dada dada da da
Da dada da da
Though she was born a long, long time ago
Your mother should know (your mother should)
Your mother should know (know)
Your mother should know (your mother should)
Your mother should know (know)
Your mother should know (your mother should)
Your mother should know (know)",Magical Mystery Tour (US) by The Beatles,204
6,I Am the Walrus,The Beatles,"
I am the egg man (Now good sir, what are you?)
They are the egg men (A poor man, made tame to fortune's blows)
I am the walrus, goo goo goo joob (Good pity)
G'goo goo g'joob


Expert, textpert, choking smokers, don't you think the joker laughs at you?
(Ho ho ho, hee hee hee, ha ha ha)
See how they smile like pigs in a sty, see how they snide
I'm crying


Umpa, umpa, stick it up your jumper
Everybody's got one, everybody's got one
“Villain, take my Purse
If ever thou wilt thrive, bury my Body
And give the Letters which thou findst about me
To Edmund Earl of Gloucester: seek him out upon the English Party
Oh, untimely death, death–”
“I know thee well, a serviceable Villain; as duteous to the Vices of thy Mistress as badness would desire”
“What, is he dead?”
“Sit you down, Father; rest you”",Magical Mystery Tour (US) by The Beatles,405
7,"Hello, Goodbye",The Beatles,"
You say goodbye and I say hello
(Hello, goodbye, hello, goodbye) Hello, hello
(Hello, goodbye) I don't know why you say goodbye, I say hello
(Hello, goodbye, hello, goodbye) Hello, hello
(Hello, goodbye) I don't know why you say goodbye, I say hello
(Hello, goodbye)


You say yes (I say yes)
I say no (But I may mean no)
You say stop (I can stay)
And I say go go go (Till it's time to go)
Oh, oh no


Hela, heba helloa
Hela, heba helloa, cha cha cha
Hela, heba helloa, woo!
Hela, heba helloa, hela!
Hela, heba helloa, cha cha cha
Hela, heba helloa, woo-hoo!
Hela, heba helloa, cha cha cha
Hela, heba helloa, cha cha cha",Magical Mystery Tour (US) by The Beatles,289
8,Strawberry Fields Forever,The Beatles,"
Cranberry sauce",Magical Mystery Tour (US) by The Beatles,207
9,Penny Lane,The Beatles,"
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
Penny Lane",Magical Mystery Tour (US) by The Beatles,296
10,"Baby, You’re a Rich Man",The Beatles,"
Baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
You keep all your money in a big brown bag inside a zoo
What a thing to do
Baby, baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
Oh, baby, you're a rich man
Baby, you're a rich man
Baby, baby you're a rich man, too",Magical Mystery Tour (US) by The Beatles,229
11,All You Need Is Love,The Beatles,"
All you need is love (All together now)
All you need is love (Everybody)
All you need is love, love
Love is all you need
(Yesterday)
(Oh yeah)
(She loves you, yeah, yeah, yeah)
(She loves you, yeah, yeah, yeah)
(Oh, yesterday)",Magical Mystery Tour (US) by The Beatles,228
1,I Saw Her Standing There,The Beatles,"
Well, she was just seventeen and you know what I mean
And the way she looked was way beyond compare
So how could I dance with another? (Ooh)
When I saw her standing there?


Well, she looked at me, and I, I could see
That before too long, I'd fall in love with her
She wouldn't dance with another (Woo)
When I saw her standing there


Well, we danced through the night, and we held each other tight
And before too long, I fell in love with her
Now, I'll never dance with another (Woo)
Since I saw her standing there


Oh, we danced through the night, and we held each other tight
And before too long, I fell in love with her
Now I'll never dance with another (Woo)
Since I saw her standing there


Oh, since I saw her standing there
Yeah, well, since I saw her standing there",Please Please Me by The Beatles,246
2,Misery,The Beatles,"
Send her back to me
'Cause everyone can see
Without her I will be in misery (Oh oh oh)
In misery (Ooh ooh)
My misery (La la la la la la)
Misery",Please Please Me by The Beatles,140
3,Anna (Go to Him),The Beatles,"
Anna
You come and ask me, girl
To set you free, girl
You say he loves you more than me, so I will set you free
Go with him (Anna)
Go with him (Anna)


Anna
Just one more thing, girl
You give back your ring to me, and I will set you free
Go with him (Anna)


Go with him (Anna)
You can go with him, girl (Anna)
Go with him",Please Please Me by The Beatles,219
4,Chains,The Beatles,"
Chains, chains of love
Chains of love
Chains of love",Please Please Me by The Beatles,180
5,Boys,The Beatles,"
I been told when a boy kiss a girl
Take a trip around the world
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)


My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)


Well, I talk about boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
Aaah, boys (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
What a bundle of joy! (Yeah, yeah, boys)
Alright, George!


My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)


Well, I talk about boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
Aaah, boys (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
What a bundle of joy! (Yeah, yeah, boys)


Oh, oh, ah yeah boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Ooh, boys (Yeah, yeah, boys)
Ah ha (Yeah, yeah, boys)
Well, I talk about boys now (Yeah, yeah, boys)",Please Please Me by The Beatles,263
6,Ask Me Why,The Beatles,"
Ask me why, I'll say I love you
And I'm always thinking of you
You
You",Please Please Me by The Beatles,185
7,Please Please Me,The Beatles,"
Come on (Come on), come on (Come on)
Come on (Come on), come on (Come on)
Please please me, whoa yeah, like I please you


Come on (Come on), Come on (Come on)
Come on (Come on), Come on (Come on)
Please please me, whoa yeah, like I please you


I don't want to sound complaining
But you know there's always rain in my heart (In my heart)
I do all the pleasing with you it's so hard to reason
With you, whoa yeah, why do you make me blue?


Come on (Come on) Come on (Come on)
Come on (Come on) Come on (Come on)
Please, please me, whoa yeah, like I please you
Me, whoa yeah, like I please you
Me, whoa yeah, like I please you
Me, whoa yeah, like I please you",Please Please Me by The Beatles,195
8,Love Me Do,The Beatles,"
Whoa, oh, love me do
Yeah, love me do
Why don't you love me do",Please Please Me by The Beatles,165
9,P.S. I Love You,The Beatles,"
As I write this letter (Oh)
Send my love to you
(You know I want you to)
Remember that I'll always (Yeah)
Be in love with you


You, you, you
I love you",Please Please Me by The Beatles,165
10,Baby It’s You,The Beatles,"
It's not the way you smile that touched my heart
(Sha la la la la)
It's not the way you kiss that tears me apart


'Cause, baby, it's you (Sha la la la la la la)
Baby, it's you (Sha la la la la la la)
(Sha la la la la)


You should hear what they say about you, ""cheat,"" ""cheat""
(Sha la la la la)
They say, they say you never never never ever been true
(Cheat, cheat)


'Cause, baby, it's you (Sha la la la la la la)
Baby, it's you (Sha la la la la la la)


'Cause, baby, it's you (Sha la la la la la la)
Baby, it's you (Sha la la la la la la)


Don't leave me all alone (Sha la la la la la la)
Come on home (Sha la la la la la la)
'Cause, baby, it's you",Please Please Me by The Beatles,270
11,Do You Want to Know a Secret,The Beatles,"
Listen (Do da do)
Do you want to know a secret? (Do da do)
Do you promise not to tell? (Do da do) Whoa oh, oh
Closer (Do da do)
Let me whisper in your ear (Do da do)
Say the words you long to hear
I'm in love with you, ooh


Listen (Do da do)
Do you want to know a secret? (Do da do)
Do you promise not to tell? (Do da do) Whoa oh, oh
Closer (Do da do)
Let me whisper in your ear (Do da do)
Say the words you long to hear
I'm in love with you, ooh
Ooh",Please Please Me by The Beatles,178
12,A Taste of Honey,The Beatles,"
I dream of your first kiss, and then
I feel upon my lips again
A taste of honey (A taste of honey)
Tasting much sweeter than wine


Yours was the kiss that awoke my heart
There lingers still, though we're far apart
A taste of honey (A taste of honey)
Tasting much sweeter than wine


I will return, yes I will return
I'll come back (He'll come back) for the honey (for the honey) and you",Please Please Me by The Beatles,107
13,There’s a Place,The Beatles,"
There's a place
There's a place
There's a place
There's a place",Please Please Me by The Beatles,118
14,Twist and Shout,The Beatles,"
Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon c'mon, c'mon, c'mon, baby, now (Come on, baby)
Come on and work it on out (Work it on out)
Well, work it on out (Work it on out)
You know you look so good (Look so good)
You know you got me goin', now (Got me goin')
Just like I knew you would (Like I knew you would)


Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon c'mon, c'mon, c'mon, baby, now (Come on, baby)
Come on and work it on out (Work it on out)
You know you twist your little girl (Twist, little girl)
You know you twist so fine (Twist so fine)
Come on and twist a little closer, now (Twist a little closer)
And let me know that you're mine (Let me know you're mine)


Baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon c'mon, c'mon, c'mon, baby, now (Come on, baby)
Come on and work it on out (Work it on out)
You know you twist your little girl (Twist, little girl)
You know you twist so fine (Twist so fine)
Come on and twist a little closer, now (Twist a little closer)
And let me know that you're mine (Let me know you're mine)


Well, shake it, shake it, shake it, baby, now (Shake it up, baby)
Well, shake it, shake it, shake it, baby, now (Shake it up, baby)
Well, shake it, shake it, shake it, baby, now (Shake it up, baby)",Please Please Me by The Beatles,307
1,Taxman,The Beatles,"
One, two, three, four
One, two...  (One, two, three, four)


Don't ask me what I want it for
(Haha, Mr. Wilson)
If you don't want to pay some more
(Haha, Mr. Heath)
'Cause I'm the taxman
Yeah, I'm the taxman


Now my advice for those who die
(Taxman!)
Declare the pennies on your eyes
(Taxman!)
Cause I'm the taxman
Yeah, I'm the taxman


And you're working for no one but me (Taxman!)",Revolver (UK) by The Beatles,181
2,Eleanor Rigby,The Beatles,"
All the lonely people (Ah, look at all the lonely people!)
Where do they all come from?
All the lonely people (Ah, look at all the lonely people!)
Where do they all belong?",Revolver (UK) by The Beatles,240
